DD/MM/YY,VNINDEX,REE,SAM,CTG,STB,VCB,EIB,FPT,KDC,MBB
23/07/2014,597.5,28.2,9.9,14.6,20.1,25.9,12.9,51.5,59.5,13.9
24/07/2014,602.06,28.4,9.9,14.8,20.3,26,12.9,52.5,59.5,13.8
25/07/2014,600.14,27.9,9.8,14.6,20.1,25.8,12.9,51.5,59,13.8
28/07/2014,589.45,27,9.7,14.6,20,25.6,12.6,50,58.5,13.6
29/07/2014,592.24,27.1,10,14.6,19.9,25.8,12.8,49.7,59,13.6
30/07/2014,589.33,27,10.6,14.5,19.6,25.6,12.7,49.9,57.5,13.5
31/07/2014,596.07,27.4,10.4,14.7,19.7,25.6,12.7,50.5,57.5,13.6
1/8/2014,593.9,27.2,10.6,14.7,19.6,25.8,12.8,49.8,57,13.5
4/8/2014,599.04,27.2,10.8,14.6,19.5,25.9,12.7,50,56,13.5
5/8/2014,607.73,27.8,11.5,14.7,19.5,26.2,12.8,51.5,56,13.7
6/8/2014,606.7,27.6,11.3,14.6,19.5,26,12.7,51,58,13.6
7/8/2014,607.62,27.7,11.6,14.6,19.5,26,12.7,50.5,58,13.8
8/8/2014,605.43,27.3,11.7,14.6,19.3,25.9,12.7,50.5,60,13.7
11/8/2014,602.13,26.8,11.5,14.6,19.1,25.7,12.7,50.5,60,13.8
12/8/2014,601.78,26.8,11.4,14.6,18.9,25.8,12.7,50.5,59.5,13.8
13/08/2014,602.76,27,11.9,14.6,19.1,26,12.9,51.5,63.5,13.7
14/08/2014,605.25,27.1,11.7,14.6,19.4,25.9,13,52,66,13.8
15/08/2014,605.32,27.1,11.7,14.6,19.2,25.7,12.8,51.5,65.5,13.7
18/08/2014,605.08,27.3,11.6,14.5,19.2,25.8,12.8,52.5,67,13.7
19/08/2014,604.64,27.2,11.4,14.5,19.2,25.8,12.7,53,65.5,13.7
20/08/2014,606.7,27.4,11.8,14.5,19.1,26.5,12.7,52,68,13.8
21/08/2014,613.96,27.9,11.7,14.5,19.1,27.2,12.6,51.5,68.5,13.7
22/08/2014,620.14,27.8,11.4,14.5,19,27.2,12.6,52,67.5,13.8
25/08/2014,625.88,27.9,11.2,14.6,19.2,27.4,12.7,52.5,69,13.9
26/08/2014,628.35,28.4,11.3,14.7,18.9,27.9,12.6,55,70.5,13.9
27/08/2014,628.77,28.6,10.8,14.5,18.8,27.6,12.6,55,74,13.8
28/08/2014,632.03,29.2,11.5,14.6,19,27.5,12.5,57,72.5,13.9
29/08/2014,636.65,29.4,12,14.8,19.4,28,12.8,57.5,74.5,14
3/9/2014,640.75,29.2,12,15.2,19.5,28.3,12.7,57,74,14.3
4/9/2014,641.15,28.8,11.9,14.9,19.5,28.8,12.8,57,74,14.2
5/9/2014,638.65,29,11.8,14.9,19.6,29.3,12.6,58,74,14.2
8/9/2014,639.85,29.1,11.7,14.8,19.7,29.3,12.6,58.5,71,14.1
9/9/2014,626.92,28.1,12,14.6,19.6,28.6,12.5,55.5,67.5,13.9
10/9/2014,628.8,28.3,12.1,14.6,20,28.6,12.5,56,68.5,13.7
11/9/2014,628.99,28.2,12.1,14.6,19.8,28.5,12.5,55.5,60,13.7
12/9/2014,632.6,28.6,12.6,14.6,19.7,28.5,12.6,56,63.5,13.7
15/09/2014,633.27,29.1,12.4,14.6,19.5,27.8,12.6,56,62,13.6
16/09/2014,627.66,29.1,12.2,14.6,19.2,27.4,12.6,56,61,13.6
17/09/2014,627.88,28.9,12.2,14.6,19,27.2,12.4,56.5,59.5,13.7
18/09/2014,615.8,28.7,11.6,14.5,19.1,27.3,12.3,55,58.5,13.6
19/09/2014,615.47,28.8,11.4,14.5,18.5,26.3,12.3,54,62,13.5
22/09/2014,611.93,29,12.1,14.5,18.6,26.8,12.2,53,59.5,13.4
23/09/2014,610.39,29.8,12.8,14.6,19.2,26.8,12.2,52.5,60,13.5
24/09/2014,603.59,30,12.7,14.6,18.7,26.7,12.3,52.5,61.5,13.6
25/09/2014,605.1,30,13,14.6,18.8,26.5,12.3,53.5,61.5,13.6
26/09/2014,604.98,29.6,13.4,14.6,18.7,26.4,12.3,52.5,61,13.6
29/09/2014,599.78,29.5,13.5,14.5,19,26.2,12.1,52,59,13.5
30/09/2014,598.8,30.2,13.4,14.4,19.1,26.1,12.1,52,59.5,13.6
1/10/2014,609.27,31,13.6,14.4,19.1,26.4,12.2,53.5,59.5,13.6
2/10/2014,612.66,31,14.1,14.7,19.1,27.4,12.3,54,59.5,13.7
3/10/2014,611.88,31.2,14.4,14.6,18.8,27.5,12.3,53.5,61,13.6
6/10/2014,614.42,31.2,14.1,14.6,19.1,27.2,12.3,53.5,61,13.8
7/10/2014,614.08,30.9,14.1,14.6,19,27.2,12.2,53.5,61,13.7
8/10/2014,617.26,30.6,13.7,14.6,18.8,27,12.2,53,60.5,13.7
9/10/2014,624.34,30.4,13.4,14.5,19,27.2,12.3,52.5,60,13.7
10/10/2014,617.72,29.9,13,14.6,18.8,27,12.2,52,58.5,13.7
13/10/2014,614.22,29.7,13.5,14.5,18.6,27,12.1,53.5,59,14
14/10/2014,607.43,29.3,13,14.3,18.2,26.7,12,52,58.5,13.8
15/10/2014,603.9,29.1,12.8,14.5,18.9,26.9,12.3,52,59.5,14
16/10/2014,587.17,28.1,12.3,14.3,18.6,26.7,12.1,49.7,58.5,13.9
17/10/2014,586.17,28.6,12.8,14.3,18.3,26.4,11.9,50.5,58,14
20/10/2014,590.59,28.5,12.7,14.3,18.4,26.6,12.1,50,57.5,13.8
21/10/2014,600.55,28.5,12.7,14.3,18.3,26.7,11.9,50,59.5,13.9
22/10/2014,601.59,28.7,12.8,14.3,18.3,26.7,12,50.5,61.5,13.9
23/10/2014,594.89,28.3,12.6,14.3,18.2,26.5,11.9,49.9,60,13.8
24/10/2014,591.51,28.1,12.7,14.2,18.2,26.5,11.8,49.8,60,13.9
27/10/2014,580.96,27.1,12.2,14.1,18,26,11.7,48.7,58,13.9
28/10/2014,583.13,27.6,12.4,14,18.3,26.5,11.6,49,58.5,13.9
29/10/2014,591.2,28.2,12.7,14,18.5,26.3,11.7,50,60,13.4
30/10/2014,589.14,28.8,12.9,14,18.6,26.7,11.8,50,59,13.1
31/10/2014,600.84,29.1,13.2,14.7,19.1,27.7,12,51,60,13.3
3/11/2014,603.15,29,13.2,14.6,19.1,28.2,12.1,51.5,61,13.2
4/11/2014,598.39,28.4,13.2,14.6,18.9,27.5,12.1,51,64,13.2
5/11/2014,597.39,28.6,12.9,14.6,18.8,27.4,12,50.5,63,13.1
6/11/2014,600.45,28.5,12.9,14.6,18.9,27.2,12,50,63.5,13.1
7/11/2014,602.59,28.6,13,14.6,18.9,27.2,11.9,50.5,62,13.2
10/11/2014,602.12,28.8,13.3,14.4,19.2,27.3,11.7,50.5,63.5,13.1
11/11/2014,604.23,28.7,13.4,14.3,19.1,27.2,11.7,51,62.5,13.2
12/11/2014,604.01,28.7,13.3,14.4,19.1,27.3,11.7,50.5,61.5,13.2
13/11/2014,603.16,28.6,13.2,14.4,18.8,27.3,11.7,50.5,60,13.2
14/11/2014,600.36,28.5,13,14.3,19.1,27.5,11.7,50,58,13.2
17/11/2014,600.93,28.5,12.9,14.3,18.9,27.3,11.7,49.9,56,13.2
18/11/2014,594.25,28.2,13,14.2,18.5,27,11.5,49.1,54.5,13.1
19/11/2014,588.35,28,13.1,14.1,18.6,26.6,11.6,49,56,13
20/11/2014,594.15,28.4,14,14.2,19.1,27.2,11.5,49,55,12.9
21/11/2014,588.03,28.1,13.6,14.3,19,27.5,11.3,49.1,52,12.9
24/11/2014,582.53,27.7,13.3,14.1,18.7,27.4,11.3,48.8,51,12.7
25/11/2014,585.91,27.9,13.5,14.1,18.8,27.6,11.2,49.2,53.5,12.8
26/11/2014,576.04,27.7,13.3,14.1,18.7,27,11.2,48.8,54,12.7
27/11/2014,572.89,27.7,13.8,14.1,18.6,27.3,11.2,48.7,54.5,12.6
28/11/2014,566.58,27.5,13.8,14,18.6,27.7,11.2,48.1,53,12.8
1/12/2014,568.01,27.6,14.1,14,18.8,28.2,11.7,47.8,51,12.7
2/12/2014,569.98,27.7,14.3,14,18.5,28.1,11.8,47.7,51.5,12.7
3/12/2014,575.36,28.1,14.3,14,18.5,28.7,12.6,48.2,52.5,12.9
4/12/2014,578.38,28,14.3,14.5,18.6,29.3,13.4,48.6,53,13.3
5/12/2014,578.76,28.1,14.5,14.5,18.6,30.3,13.1,48.7,52.5,13.3
8/12/2014,571.68,28.5,14.8,14.4,18.5,31.4,12.6,48.3,51,13.1
9/12/2014,555.31,27.9,14.2,14.2,18.2,31.6,11.8,47.2,48,12.9
10/12/2014,557.19,28.7,14.6,14.2,18.2,30,12,47.7,49.8,12.9
11/12/2014,550.11,28.5,14.6,14.2,17.8,29.7,11.9,47.4,52,13.1
12/12/2014,553.93,28.5,14.7,14.3,18.2,31,12,48.1,53,13
15/12/2014,547.93,28,14.4,14.2,18,30.4,11.8,47.8,51,13
16/12/2014,535.14,27.6,13.6,14,17.7,30.6,11.9,47.2,48.5,12.8
17/12/2014,518.22,26.4,13.3,13.8,16.7,30.3,11.8,45.2,47.4,12.7
18/12/2014,528.45,26.9,13.1,13.9,16,30.4,12.3,46.2,48,12.8
19/12/2014,523.09,26.6,12.3,13.9,15.9,28.3,11.7,45.6,48.1,12.7
22/12/2014,537.54,27.3,12.7,14.1,17,29.8,12.3,46.3,49.6,12.8
23/12/2014,537.88,27.2,12.5,14,17.5,30.6,12.2,46.9,49.7,12.9
24/12/2014,539.44,27.4,12.7,13.8,17.5,30.2,12.3,46.9,49.4,13
25/12/2014,532.01,27.1,12.2,13.8,17.4,29.9,12.5,46.5,48.2,13
26/12/2014,533.81,26.8,12,13.7,17.5,30.8,12.5,46.2,48.8,12.9
29/12/2014,532.7,26.8,12,13.7,17.4,31.7,12.6,45.9,49,12.8
30/12/2014,537.57,27.5,12.7,13.7,18,32,12.8,46.3,49.2,12.8
31/12/2014,545.63,28.2,13,13.8,18,31.9,12.8,48,49.9,13.1
